title,body_file,labels,milestone,parent_epic,use_case,issue_type,area,priority,phase
Implement dispute battle endpoint,issue_bodies/tasks/uc-020-implement-dispute-battle-endpoint.md,"type: task,area: api,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-020] Confirm or Dispute Battle Result,UC-020,Task,Battles,High,MVP
Build battle confirmation UI,issue_bodies/tasks/uc-020-build-battle-confirmation-ui.md,"type: task,area: ui,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-020] Confirm or Dispute Battle Result,UC-020,Task,Battles,High,MVP
[UC-021] View Battle History,issue_bodies/epics/uc-021-view-battle-history.md,"type: epic,area: battles,priority: medium,phase: mvp",M5: Battle Logging and Confirmation,,UC-021,Epic,Battles,Medium,MVP
Implement battle history endpoints,issue_bodies/tasks/uc-021-implement-battle-history-endpoints.md,"type: task,area: api,area: battles,priority: medium,phase: mvp",M5: Battle Logging and Confirmation,[UC-021] View Battle History,UC-021,Task,Battles,Medium,MVP
Build battle history UI,issue_bodies/tasks/uc-021-build-battle-history-ui.md,"type: task,area: ui,area: battles,priority: medium,phase: mvp",M5: Battle Logging and Confirmation,[UC-021] View Battle History,UC-021,Task,Battles,Medium,MVP
[UC-024] Configure Campaign Rules,issue_bodies/epics/uc-024-configure-campaign-rules.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-024,Epic,Campaigns,High,MVP
Define campaign settings validation rules,issue_bodies/tasks/uc-024-define-campaign-settings-validation-rules.md,"type: task,area: api,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-024] Configure Campaign Rules,UC-024,Task,Campaigns,High,MVP
Build campaign settings form sections,issue_bodies/tasks/uc-024-build-campaign-settings-form-sections.md,"type: task,area: ui,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-024] Configure Campaign Rules,UC-024,Task,Campaigns,High,MVP
[UC-025] Configure Campaign Objectives,issue_bodies/epics/uc-025-configure-campaign-objectives.md,"type: epic,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",,UC-025,Epic,Objectives,High,MVP
Create objective tables/models,issue_bodies/tasks/uc-025-create-objective-tables-models.md,"type: task,area: database,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-025] Configure Campaign Objectives,UC-025,Task,Objectives,High,MVP
Implement objective CRUD endpoints,issue_bodies/tasks/uc-025-implement-objective-crud-endpoints.md,"type: task,area: api,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-025] Configure Campaign Objectives,UC-025,Task,Objectives,High,MVP
Build objective configuration UI,issue_bodies/tasks/uc-025-build-objective-configuration-ui.md,"type: task,area: ui,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-025] Configure Campaign Objectives,UC-025,Task,Objectives,High,MVP
[UC-026] View and Manage Objective Control,issue_bodies/epics/uc-026-view-and-manage-objective-control.md,"type: epic,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",,UC-026,Epic,Objectives,High,MVP
Implement objective control endpoints,issue_bodies/tasks/uc-026-implement-objective-control-endpoints.md,"type: task,area: api,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-026] View and Manage Objective Control,UC-026,Task,Objectives,High,MVP
Build objective control UI,issue_bodies/tasks/uc-026-build-objective-control-ui.md,"type: task,area: ui,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-026] View and Manage Objective Control,UC-026,Task,Objectives,High,MVP
[UC-027] Resolve Objective Control After Battle,issue_bodies/epics/uc-027-resolve-objective-control-after-battle.md,"type: epic,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",,UC-027,Epic,Objectives,High,MVP
Implement binary objective control resolver,issue_bodies/tasks/uc-027-implement-binary-objective-control-resolver.md,"type: task,area: api,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-027] Resolve Objective Control After Battle,UC-027,Task,Objectives,High,MVP
Implement percentage control resolver,issue_bodies/tasks/uc-027-implement-percentage-control-resolver.md,"type: task,area: api,area: objectives,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-027] Resolve Objective Control After Battle,UC-027,Task,Objectives,High,MVP
Record objective control history,issue_bodies/tasks/uc-027-record-objective-control-history.md,"type: task,area: database,area: objectives,priority: medium,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-027] Resolve Objective Control After Battle,UC-027,Task,Objectives,High,MVP
[UC-028] Run Chaos Campaign Cycle,issue_bodies/epics/uc-028-run-chaos-campaign-cycle.md,"type: epic,area: campaigns,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",,UC-028,Epic,Campaigns,High,MVP
Implement Chaos campaign defaults,issue_bodies/tasks/uc-028-implement-chaos-campaign-defaults.md,"type: task,area: api,area: campaigns,area: resources,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-028] Run Chaos Campaign Cycle,UC-028,Task,Campaigns,High,MVP
Implement Warchest resource accounts,issue_bodies/tasks/uc-028-implement-warchest-resource-accounts.md,"type: task,area: database,area: resources,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-028] Run Chaos Campaign Cycle,UC-028,Task,Campaigns,High,MVP
Build Chaos post-battle management UI,issue_bodies/tasks/uc-028-build-chaos-post-battle-management-ui.md,"type: task,area: ui,area: resources,priority: high,phase: mvp","M6: Objectives, Control, and Chaos Campaign MVP",[UC-028] Run Chaos Campaign Cycle,UC-028,Task,Campaigns,High,MVP
[UC-029] Run Advanced Campaign Turn,issue_bodies/epics/uc-029-run-advanced-campaign-turn.md,"type: epic,area: resources,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,,UC-029,Epic,Resources,High,V1
Implement Advanced turn tracking,issue_bodies/tasks/uc-029-implement-advanced-turn-tracking.md,"type: task,area: api,area: campaigns,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,[UC-029] Run Advanced Campaign Turn,UC-029,Task,Resources,High,V1
Implement c-bill resource accounts,issue_bodies/tasks/uc-029-implement-c-bill-resource-accounts.md,"type: task,area: database,area: resources,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,[UC-029] Run Advanced Campaign Turn,UC-029,Task,Resources,High,V1
Build Advanced turn management UI,issue_bodies/tasks/uc-029-build-advanced-turn-management-ui.md,"type: task,area: ui,area: resources,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,[UC-029] Run Advanced Campaign Turn,UC-029,Task,Resources,High,V1
"[UC-033] Manage Repair, Rearmament, and Requisition",issue_bodies/epics/uc-033-manage-repair-rearmament-and-requisition.md,"type: epic,area: repairs,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,,UC-033,Epic,Repairs,High,V1
Create repair and requisition tables/models,issue_bodies/tasks/uc-033-create-repair-and-requisition-tables-models.md,"type: task,area: database,area: repairs,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,"[UC-033] Manage Repair, Rearmament, and Requisition",UC-033,Task,Repairs,High,V1
Implement repair order endpoints,issue_bodies/tasks/uc-033-implement-repair-order-endpoints.md,"type: task,area: api,area: repairs,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,"[UC-033] Manage Repair, Rearmament, and Requisition",UC-033,Task,Repairs,High,V1
Implement requisition endpoints,issue_bodies/tasks/uc-033-implement-requisition-endpoints.md,"type: task,area: api,area: repairs,priority: medium,phase: v1",M7: Advanced Campaign Resources and Repairs,"[UC-033] Manage Repair, Rearmament, and Requisition",UC-033,Task,Repairs,High,V1
Build repair and requisition UI,issue_bodies/tasks/uc-033-build-repair-and-requisition-ui.md,"type: task,area: ui,area: repairs,priority: high,phase: v1",M7: Advanced Campaign Resources and Repairs,"[UC-033] Manage Repair, Rearmament, and Requisition",UC-033,Task,Repairs,High,V1
[UC-030] Set Up Conquest Campaign Map,issue_bodies/epics/uc-030-set-up-conquest-campaign-map.md,"type: epic,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,,UC-030,Epic,Conquest,High,STRETCH
Create Conquest map tables/models,issue_bodies/tasks/uc-030-create-conquest-map-tables-models.md,"type: task,area: database,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-030] Set Up Conquest Campaign Map,UC-030,Task,Conquest,High,STRETCH
Implement Conquest map endpoints,issue_bodies/tasks/uc-030-implement-conquest-map-endpoints.md,"type: task,area: api,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-030] Set Up Conquest Campaign Map,UC-030,Task,Conquest,High,STRETCH
Build Conquest map setup UI,issue_bodies/tasks/uc-030-build-conquest-map-setup-ui.md,"type: task,area: ui,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-030] Set Up Conquest Campaign Map,UC-030,Task,Conquest,High,STRETCH
[UC-031] Assign Conquest Combat Team Orders,issue_bodies/epics/uc-031-assign-conquest-combat-team-orders.md,"type: epic,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,,UC-031,Epic,Conquest,High,STRETCH
Create combat team tables/models,issue_bodies/tasks/uc-031-create-combat-team-tables-models.md,"type: task,area: database,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-031] Assign Conquest Combat Team Orders,UC-031,Task,Conquest,High,STRETCH
Implement combat team endpoints,issue_bodies/tasks/uc-031-implement-combat-team-endpoints.md,"type: task,area: api,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-031] Assign Conquest Combat Team Orders,UC-031,Task,Conquest,High,STRETCH
Implement Conquest order assignment endpoints,issue_bodies/tasks/uc-031-implement-conquest-order-assignment-endpoints.md,"type: task,area: api,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-031] Assign Conquest Combat Team Orders,UC-031,Task,Conquest,High,STRETCH
Build Conquest order UI,issue_bodies/tasks/uc-031-build-conquest-order-ui.md,"type: task,area: ui,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-031] Assign Conquest Combat Team Orders,UC-031,Task,Conquest,High,STRETCH
[UC-032] Resolve Conquest Turn,issue_bodies/epics/uc-032-resolve-conquest-turn.md,"type: epic,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,,UC-032,Epic,Conquest,High,STRETCH
Create Conquest turn/order result models,issue_bodies/tasks/uc-032-create-conquest-turn-order-result-models.md,"type: task,area: database,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-032] Resolve Conquest Turn,UC-032,Task,Conquest,High,STRETCH
Implement Conquest turn resolution service,issue_bodies/tasks/uc-032-implement-conquest-turn-resolution-service.md,"type: task,area: api,area: conquest,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-032] Resolve Conquest Turn,UC-032,Task,Conquest,High,STRETCH
Implement auto-created battle records,issue_bodies/tasks/uc-032-implement-auto-created-battle-records.md,"type: task,area: api,area: conquest,area: battles,priority: high,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-032] Resolve Conquest Turn,UC-032,Task,Conquest,High,STRETCH
Build Conquest turn summary UI,issue_bodies/tasks/uc-032-build-conquest-turn-summary-ui.md,"type: task,area: ui,area: conquest,priority: medium,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-032] Resolve Conquest Turn,UC-032,Task,Conquest,High,STRETCH
[UC-034] Manage Auxiliary Forces,issue_bodies/epics/uc-034-manage-auxiliary-forces.md,"type: epic,area: conquest,priority: low,phase: stretch",M8: Conquest Campaign Map and Orders,,UC-034,Epic,Conquest,Low,STRETCH
