unitKey,chassis,model,techBase,rulesLevel,relativePath,weaponIndex,mtfWeaponName,mtfLocation,normalizedLocation,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,matchedBy,matchedText,slotMatchStatus,matchingSlotIndexes,matchingSlotValues,reason
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,1,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,2,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,3,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,4,LRM 15,Left Torso,leftTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,1; 2; 3; 5; 6,LRM 15; LRM 15; LRM 15; IS Ammo LRM-15; IS Ammo LRM-15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,5,LRM 15,Right Torso,rightTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,1; 2; 3; 5; 6,LRM 15; LRM 15; LRM 15; IS Ammo LRM-15; IS Ammo LRM-15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,6,SRM 4,Left Torso,leftTorso,matched,is_srm_4,SRM 4,Inner Sphere,name,SRM 4,matchedSlot,4; 7,SRM 4; IS Ammo SRM-4,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,7,SRM 4,Right Torso,rightTorso,matched,is_srm_4,SRM 4,Inner Sphere,name,SRM 4,matchedSlot,4; 7,SRM 4; IS Ammo SRM-4,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,0,Medium Laser,Left Arm,leftArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,1,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,2,LRM 20,Left Torso,leftTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,1; 2; 3; 4; 5; 7; 8,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,3,LRM 20,Right Torso,rightTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,1; 2; 3; 4; 5; 7; 8,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,4,SRM 4,Left Torso,leftTorso,matched,is_srm_4,SRM 4,Inner Sphere,name,SRM 4,matchedSlot,6,SRM 4,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2w,Archer,ARC-2W,Inner Sphere,Introductory,meks/3039u/Archer ARC-2W.mtf,5,SRM 4,Right Torso,rightTorso,matched,is_srm_4,SRM 4,Inner Sphere,name,SRM 4,matchedSlot,6,SRM 4,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,0,Small Laser,Left Leg,leftLeg,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,5,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,1,Small Laser,Right Leg,rightLeg,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,5,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,2,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,4,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,3,SRM 2,Left Torso,leftTorso,matched,is_srm_2,SRM 2,Inner Sphere,name,SRM 2,matchedSlot,3; 4,SRM 2; IS Ammo SRM-2,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,4,LRM 5,Right Torso,rightTorso,matched,is_lrm_5,LRM 5,Inner Sphere,name,LRM 5,matchedSlot,3; 4,LRM 5; IS Ammo LRM-5,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-101,Assassin,ASN-101,Inner Sphere,Introductory,meks/3039u/Assassin ASN-101.mtf,5,Small Laser,Head,head,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,4,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-21,Assassin,ASN-21,Inner Sphere,Introductory,meks/3039u/Assassin ASN-21.mtf,0,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,4,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-21,Assassin,ASN-21,Inner Sphere,Introductory,meks/3039u/Assassin ASN-21.mtf,1,SRM 2,Left Torso,leftTorso,matched,is_srm_2,SRM 2,Inner Sphere,name,SRM 2,matchedSlot,4; 5,SRM 2; IS Ammo SRM-2,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-assassin-asn-21,Assassin,ASN-21,Inner Sphere,Introductory,meks/3039u/Assassin ASN-21.mtf,2,LRM 5,Right Torso,rightTorso,matched,is_lrm_5,LRM 5,Inner Sphere,name,LRM 5,matchedSlot,4; 5,LRM 5; IS Ammo LRM-5,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d-dc,Atlas,AS7-D-DC,Inner Sphere,Advanced,meks/3039u/Atlas AS7-D-DC.mtf,0,Medium Laser,Left Arm,leftArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,6,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d-dc,Atlas,AS7-D-DC,Inner Sphere,Advanced,meks/3039u/Atlas AS7-D-DC.mtf,1,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,6,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d-dc,Atlas,AS7-D-DC,Inner Sphere,Advanced,meks/3039u/Atlas AS7-D-DC.mtf,2,LRM 20,Left Torso,leftTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,2; 3; 4; 5; 6; 9,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d-dc,Atlas,AS7-D-DC,Inner Sphere,Advanced,meks/3039u/Atlas AS7-D-DC.mtf,3,SRM 6,Left Torso,leftTorso,matched,is_srm_6,SRM 6,Inner Sphere,name,SRM 6,matchedSlot,7; 8; 10,SRM 6; SRM 6; IS Ammo SRM-6,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d-dc,Atlas,AS7-D-DC,Inner Sphere,Advanced,meks/3039u/Atlas AS7-D-DC.mtf,4,Autocannon/20,Right Torso,rightTorso,matched,is_autocannon_20,Autocannon/20,Inner Sphere,name,Autocannon/20,matchedSlot,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; IS Ammo AC/20; IS Ammo AC/20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,0,Medium Laser,Left Arm,leftArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,6,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,1,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,6,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,2,LRM 20,Left Torso,leftTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,2; 3; 4; 5; 6; 9; 10,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,3,SRM 6,Left Torso,leftTorso,matched,is_srm_6,SRM 6,Inner Sphere,name,SRM 6,matchedSlot,7; 8; 11,SRM 6; SRM 6; IS Ammo SRM-6,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,4,AC/20,Right Torso,rightTorso,matched,is_autocannon_20,Autocannon/20,Inner Sphere,altName,AC/20,matchedSlot,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; Autocannon/20; IS Ammo AC/20; IS Ammo AC/20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,5,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-d,Atlas,AS7-D,Inner Sphere,Introductory,meks/3039u/Atlas AS7-D.mtf,6,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-rs,Atlas,AS7-RS,Inner Sphere,Introductory,meks/3039u/Atlas AS7-RS.mtf,0,Autocannon/10,Right Torso,rightTorso,matched,is_autocannon_10,Autocannon/10,Inner Sphere,name,Autocannon/10,matchedSlot,1; 2; 3; 4; 5; 6; 7; 8; 9,Autocannon/10; Autocannon/10; Autocannon/10; Autocannon/10; Autocannon/10; Autocannon/10; Autocannon/10; IS Ammo AC/10; IS Ammo AC/10,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-rs,Atlas,AS7-RS,Inner Sphere,Introductory,meks/3039u/Atlas AS7-RS.mtf,1,LRM 15,Left Torso,leftTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,2; 3; 4; 6; 7,LRM 15; LRM 15; LRM 15; IS Ammo LRM-15; IS Ammo LRM-15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-rs,Atlas,AS7-RS,Inner Sphere,Introductory,meks/3039u/Atlas AS7-RS.mtf,2,SRM 4,Left Torso,leftTorso,matched,is_srm_4,SRM 4,Inner Sphere,name,SRM 4,matchedSlot,5; 8,SRM 4; IS Ammo SRM-4,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-rs,Atlas,AS7-RS,Inner Sphere,Introductory,meks/3039u/Atlas AS7-RS.mtf,3,Large Laser,Left Arm,leftArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,6; 7,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-atlas-as7-rs,Atlas,AS7-RS,Inner Sphere,Introductory,meks/3039u/Atlas AS7-RS.mtf,4,Large Laser,Right Arm,rightArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,6; 7,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8q,Awesome,AWS-8Q,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8Q.mtf,0,PPC,Right Arm,rightArm,matched,is_ppc,PPC,Inner Sphere,name,PPC,matchedSlot,9; 10; 11,PPC; PPC; PPC,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8q,Awesome,AWS-8Q,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8Q.mtf,1,PPC,Left Torso,leftTorso,matched,is_ppc,PPC,Inner Sphere,name,PPC,matchedSlot,6; 7; 8,PPC; PPC; PPC,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8q,Awesome,AWS-8Q,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8Q.mtf,2,PPC,Right Torso,rightTorso,matched,is_ppc,PPC,Inner Sphere,name,PPC,matchedSlot,4; 5; 6,PPC; PPC; PPC,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8q,Awesome,AWS-8Q,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8Q.mtf,3,Small Laser,Head,head,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,4,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8r,Awesome,AWS-8R,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8R.mtf,0,Large Laser,Right Arm,rightArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,5; 6,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8r,Awesome,AWS-8R,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8R.mtf,1,LRM 15,Right Torso,rightTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,7; 8; 9,LRM 15; LRM 15; LRM 15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8r,Awesome,AWS-8R,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8R.mtf,2,LRM 15,Left Torso,leftTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,7; 8; 9,LRM 15; LRM 15; LRM 15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8r,Awesome,AWS-8R,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8R.mtf,3,Small Laser,Head,head,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,4,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8t,Awesome,AWS-8T,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8T.mtf,0,Large Laser,Left Arm,leftArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,5; 6,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8t,Awesome,AWS-8T,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8T.mtf,1,Large Laser,Right Arm,rightArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,5; 6,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8t,Awesome,AWS-8T,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8T.mtf,2,Small Laser,Head,head,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,4,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8t,Awesome,AWS-8T,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8T.mtf,3,LRM 15,Left Torso,leftTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,5; 6; 7,LRM 15; LRM 15; LRM 15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8t,Awesome,AWS-8T,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8T.mtf,4,LRM 15,Right Torso,rightTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,6; 7; 8,LRM 15; LRM 15; LRM 15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8v,Awesome,AWS-8V,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8V.mtf,0,PPC,Right Arm,rightArm,matched,is_ppc,PPC,Inner Sphere,name,PPC,matchedSlot,4; 5; 6,PPC; PPC; PPC,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8v,Awesome,AWS-8V,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8V.mtf,1,Large Laser,Left Torso,leftTorso,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,8; 9,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-awesome-aws-8v,Awesome,AWS-8V,Inner Sphere,Introductory,meks/3039u/Awesome AWS-8V.mtf,2,Small Laser,Head,head,matched,is_small_laser,Small Laser,Inner Sphere,name,Small Laser,matchedSlot,4,Small Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
